,Arithmetic Mean,1st Max Value,Date Local,County Name,City Name,State Name
0,1.9458330000000001,3.8,2020-01-01,Jefferson,Birmingham,Alabama
1,4.829167,8.8,2020-01-02,Jefferson,Birmingham,Alabama
2,2.458333,4.1,2020-01-03,Jefferson,Birmingham,Alabama
3,5.9625,11.4,2020-01-04,Jefferson,Birmingham,Alabama
4,2.4083330000000003,4.9,2020-01-05,Jefferson,Birmingham,Alabama
5,2.891667,5.9,2020-01-06,Jefferson,Birmingham,Alabama
6,5.470833,8.4,2020-01-07,Jefferson,Birmingham,Alabama
7,1.395833,2.4,2020-01-08,Jefferson,Birmingham,Alabama
8,4.904167,9.7,2020-01-09,Jefferson,Birmingham,Alabama
9,7.5833330000000005,9.6,2020-01-10,Jefferson,Birmingham,Alabama
10,8.725,14.1,2020-01-11,Jefferson,Birmingham,Alabama
11,1.633333,3.9,2020-01-12,Jefferson,Birmingham,Alabama
12,2.733333,5.2,2020-01-13,Jefferson,Birmingham,Alabama
13,3.166667,5.1000000000000005,2020-01-14,Jefferson,Birmingham,Alabama
14,2.879167,5.1000000000000005,2020-01-15,Jefferson,Birmingham,Alabama
15,5.945833,8.8,2020-01-16,Jefferson,Birmingham,Alabama
16,5.491667,9.2,2020-01-17,Jefferson,Birmingham,Alabama
17,5.9375,8.4,2020-01-18,Jefferson,Birmingham,Alabama
18,6.154167,8.0,2020-01-19,Jefferson,Birmingham,Alabama
19,5.658333,7.0,2020-01-20,Jefferson,Birmingham,Alabama
20,4.7083330000000005,7.5,2020-01-21,Jefferson,Birmingham,Alabama
21,2.6375,3.9,2020-01-22,Jefferson,Birmingham,Alabama
22,4.529167,6.8,2020-01-23,Jefferson,Birmingham,Alabama
23,5.479167,8.3,2020-01-24,Jefferson,Birmingham,Alabama
24,3.0500000000000003,5.5,2020-01-25,Jefferson,Birmingham,Alabama
25,1.8916669999999998,3.8,2020-01-26,Jefferson,Birmingham,Alabama
26,2.5333330000000003,4.7,2020-01-27,Jefferson,Birmingham,Alabama
27,1.529167,3.6,2020-01-28,Jefferson,Birmingham,Alabama
28,2.3125,4.3,2020-01-29,Jefferson,Birmingham,Alabama
29,1.879167,4.4,2020-01-30,Jefferson,Birmingham,Alabama
30,3.3458330000000003,4.9,2020-01-31,Jefferson,Birmingham,Alabama
62,0.7125,2.2,2020-01-01,Jefferson,Birmingham,Alabama
63,1.445833,3.6,2020-01-02,Jefferson,Birmingham,Alabama
